relative_path,size_bytes,size_mib,sha256,media_kind,priority,drive_action,duplicate_of
CREDIT_TPHCM_OH_YEAH_V4.mp4,132220451,126.10,a96f6eb30342562e69b84c5e58c1d28d7b6da591a8969a35b8c013362cab4b93,video,P1 — DELIVERY SUPPORT,Giữ một bản credit V4 đã kiểm hash,
Nhom14_DanChuHoaThietKeVaQuanTriCongNgheTheoFeenberg.mp4,1212147443,1155.99,22e39eced2b8454d1ad8fdbe35d7f3d34e7e7a2cce63cc34400d99b513feb788,video,P1 — VERIFY DELIVERY,Kiểm tra file đã có trên Drive; không upload bản trùng,
assets/flow_selected/S002_phone_tap_1080p_v2.mp4,2985678,2.85,9dc0a6ec1fd382838fd42678e5a686ac75c1c734af82a147328037cc80605c36,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S009_flow_1080p.mp4,6119519,5.84,0c9a25e4c3c17bc72d6e033c7b0f079cd0ab5962bba5e3ead925db310544640f,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S015_neutral_tool_1080p.mp4,3314292,3.16,a901107da236d168ada50ae50f8f7fb8df370689c79653f75c99eccbbbc4e106,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S040_technical_code_materials_1080p.mp4,3224986,3.08,23c70edb83a3ac974b0b90f5498ab4d65a0b8695b69b127685e4110f5a184e8e,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S043_boiler_reconstruction_1080p.mp4,9806780,9.35,1c6224ae50220cbe2ea1792f94612a6f87275e1ece91eec3aabf94371f7c5fb6,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S050_flow_1080p.mp4,8677027,8.28,1ff2fdea7e13a2370465954eb4a38024022a19e8e41a89fc37232f7a51b601c1,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S051_flow_1080p.mp4,3725552,3.55,3398cb3cef04a6e45349229e18255a61bd1fcd616e7907319d724e4820f5a696,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S063_flow_1080p.mp4,6645634,6.34,52ada6ae30a702c21eafa7edad552b1cfcaec9b35d597a108be9698a446431a5,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_selected/S086_flow_1080p.mp4,8426668,8.04,1074286d27a5085b0417df7070e5058fb27021cf19936e1b56b48487c2ffbf63,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_namthanguit/S002_phone_tap_alt_1080p.mp4,2914301,2.78,1c13a1fd4131e79a40b27ce1c7bcb75ebc944b9e7d3d342152763ea89b7e01df,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_namthanguit/S034_scheduling_options_alt_1080p.mp4,8766963,8.36,abe49b26a8a9e00b013c04e37eae554b6d11ec022284a764c346d94a4cc99fc7,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_namthanguit/S040_constraints_alt_1080p.mp4,5013244,4.78,77b650b5e115fca192f348036d5391ce1b7ad9b48c43eb1d578b36e8d81ac465,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_namthanguit/S065_network_users_alt_1080p.mp4,8808491,8.40,2c331c389482c882685c1b388ec27453ee3230b8f57adb29a4f6f7df5258e04a,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_namthanguit/S073_adaptive_computer_alt_1080p.mp4,5869795,5.60,aa957615bac720fd46b06e3e951df980e1ca282e14f9af1130d7b8754853c6e1,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_namthanguit/S099_closing_kiosk_alt_1080p.mp4,5427063,5.18,e0c79db9fa0481f5b179a7110ce53d89e7c9a696ff2ff0a766ab44fa7cb50a33,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_odoo/S034_multiple_options_1080p.mp4,5145204,4.91,9892015e6aaa42e14d157df8892782ff6b3ea7e819ad94a6c08a86df04785a21,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/flow_v8_odoo/S043_boiler_reconstruction_1080p.mp4,5764377,5.50,c09e56f07f9f598ac2e09d018e87665ad1e76f832e6cdc39b0ca2392b819a334,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
