relative_path,size_bytes,size_mib,sha256,media_kind,priority,drive_action,duplicate_of
CREDIT_TPHCM_OH_YEAH_V4.mp4,132220451,126.10,a96f6eb30342562e69b84c5e58c1d28d7b6da591a8969a35b8c013362cab4b93,video,P1 — DELIVERY SUPPORT,Giữ một bản credit V4 đã kiểm hash,
Nhom14_DanChuHoaThietKeVaQuanTriCongNgheTheoFeenberg.mp4,1212147443,1155.99,22e39eced2b8454d1ad8fdbe35d7f3d34e7e7a2cce63cc34400d99b513feb788,video,P1 — VERIFY DELIVERY,Kiểm tra file đã có trên Drive; không upload bản trùng,
assets/v11_real/mixkit/mixkit_29993_1080.mp4,60549829,57.74,dfd7981152d1d0d9e4542fdb75be1019ea8f1a6616dd761ef35ed4a5d20ec619,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_308_1080.mp4,63851206,60.89,c58673c8c096b6c0c2974639a08d2efa2ce1e4999bb08704f0f0fc4e24d228a6,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_41165_1080.mp4,68244370,65.08,759dc89c5d8712630866f46b244c2ce49e47dfa413f3404f5a9da08053737841,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_4169_1080.mp4,62619362,59.72,de40a851dd102104ab2eae9194877659fd90075ae606ded4bbd52abdcfc37008,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_4401_1080.mp4,74588084,71.13,b2afbc1c08ad7c93df5559b95072dbcd88d7ac0e20c93d9284244afc96392352,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_4547_1080.mp4,80665013,76.93,67455cada6591e3b92a9db73fdfdc73c943d6f841a077c82b4bee4f40205b028,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_4648_1080.mp4,54681404,52.15,490ba97c43fb6fd2b2c6614b666878090d3ce6ada4e894946240b0424318e32d,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_4809_1080.mp4,83178992,79.33,dfaf13141e7b9d04e606d0c422036327bc3350fbb02f25e8cd39648a874e7d56,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_50598_1080.mp4,56369446,53.76,54f46bba3fcb2aed7aadd1eafb24534f2a12ea95e8b272e6c6f9e03351e71d78,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
assets/v11_real/mixkit/mixkit_914_1080.mp4,61764156,58.90,c85a6b27feb04779b9c20a67ac70447689f9b9abf3da9dbbc55a7ba6cf0847f3,video,P2 — REBUILD INPUT,Upload các asset được storyboard tham chiếu,
audio/mix/FULL_MIX_V10_CONTENT_48K.wav,277939302,265.06,917fc44910edd0c0a8b9c38543fe0d1d32bce11d4b724041368267f78b1c9604,audio,P2 — REBUILD INPUT,Upload nếu cần tái dựng hoặc rollback,
audio/music/SCORE_SUNO_V8_48K.wav,280099468,267.12,2a79f53a8ef08135cdb542246a61640d5a524645c50c36775aca6fd207587dbe,audio,P2 — REBUILD INPUT,Upload nếu cần tái dựng hoặc rollback,
audio/sfx/SFX_AMBIENCE_V10_48K.wav,277939302,265.06,afc486ac91132d813c3bc0311a9d1568e7b3da4b8dfbe7650678485fc83f1ed8,audio,P2 — REBUILD INPUT,Upload nếu cần tái dựng hoặc rollback,
audio/vo/vale_unified_v9/VO_VALE_UNIFIED_V9_WITH_BREATHS_48K.wav,277934820,265.06,e25474d83319a203cb9b308e02973b6cad7ed5f7568161322176c99ea035bdb5,audio,P2 — REBUILD INPUT,Upload nếu cần tái dựng hoặc rollback,
renders/v11_final_r5/PICTURE_MASTER_V11_R5_1080P.mp4,507061496,483.57,e6398399b4964ec5867683d5addc759b2e82e2a70e705d299d8f3bad369e9a43,video,P3 — OPTIONAL PATCH MASTER,Hữu ích khi vá picture/subtitle; không bắt buộc để nộp,
renders/v11_final_r6/PICTURE_MASTER_V11_R6_1080P.mp4,535072004,510.28,7133f415e8d682a35aa8c37695773230b8f0a46df055d3a332f53b9a4bf167c1,video,P3 — OPTIONAL PATCH MASTER,Hữu ích khi vá picture/subtitle; không bắt buộc để nộp,
renders/v11_final_r6/subtitles/SUBTITLE_ALPHA_V11_R6_CONTENT_1080P.mov,296585205,282.85,c3566a46d194ce64beb82825a223abbd5d16b54b70a907b4b9d8ac6f878700b9,video,P3 — OPTIONAL PATCH MASTER,Hữu ích khi vá picture/subtitle; không bắt buộc để nộp,
