CLAIM_ID,CLAIM,SOURCE,PAGE_LOCATION,STATUS,USE_NOTE
C001,"Trong ma trận của Feenberg, hai trục là trung tính/mang giá trị và tự trị/con người có thể kiểm soát; bốn giao điểm lần lượt là thuyết tất định, thuyết công cụ, thuyết thực chất và lý thuyết phê phán.","S01 — Feenberg, What Is Philosophy of Technology?","PDF tr. 5–6",VERIFIED,"Dùng đồ họa 2×2; không gọi là bốn giai đoạn."
C002,"Thuyết công cụ xem công nghệ là phương tiện trung tính do con người kiểm soát để thỏa mãn nhu cầu.","S01","PDF tr. 5–6",VERIFIED,"Cách tiếp cận thứ nhất theo rubric."
C003,"Thuyết tất định công nghệ xem công nghệ không do con người kiểm soát mà định hình xã hội theo yêu cầu hiệu quả và tiến bộ.","S01","PDF tr. 6",VERIFIED,"Chỉ định vị, không khai triển dài."
C004,"Thuyết thực chất xem việc lựa chọn công nghệ đồng thời là lựa chọn một lối sống và coi công nghệ mang giá trị thực chất, có tính tự trị.","S01","PDF tr. 7–8",VERIFIED,"Chỉ định vị, tránh đồng nhất với lý thuyết phê phán."
C005,"Lý thuyết phê phán của Feenberg xem công nghệ vừa mang giá trị vừa có thể được con người kiểm soát/định hướng.","S01","PDF tr. 9",VERIFIED,"Cách tiếp cận thứ hai theo rubric."
C006,"Theo Feenberg, vấn đề không phải công nghệ tự thân mà là thiếu các thiết chế thích hợp để thực hiện sự kiểm soát của con người; công nghệ có thể được đưa vào một quá trình thiết kế và phát triển dân chủ hơn.","S01","PDF tr. 9",VERIFIED,"Diễn giải sát văn bản, không nói mọi vấn đề đều giải quyết bằng thủ tục."
C007,"Các giá trị trong công nghệ theo lý thuyết phê phán mang tính đặc thù xã hội; nhiều lối sống công nghệ khả dĩ phản ánh các lựa chọn thiết kế khác nhau.","S01","PDF tr. 9",VERIFIED,"Nền cho phi bản chất luận."
C008,"Phương tiện và mục đích liên kết; lựa chọn có ý nghĩa nằm ở cấp khung của đời sống công nghệ, tức meta-choice, không chỉ ở cách dùng một công cụ đã cho.","S01","PDF tr. 10",VERIFIED,"Dùng hình hộp đen mở ra thành các nhánh."
C009,"Dân chủ hóa công nghệ không có nghĩa tổ chức bầu cử giữa các thiết bị; Feenberg nhấn mạnh phản kháng và đổi mới của người chịu tác động.","S01","PDF tr. 10",VERIFIED,"Câu chống đánh tráo khái niệm bắt buộc."
C010,"Feenberg đọc các ví dụ về mạng máy tính như xu hướng mở rộng sự tham gia vào quyết định thiết kế và phát triển, đưa vấn đề kỹ thuật vào phạm vi công cộng.","S01","PDF tr. 10–11",VERIFIED,"Không nói xu hướng này đã hoàn tất."
C011,"Trong bài năm 1992, Feenberg cho rằng công nghệ không tất định cũng không trung tính; quyền lực hiện đại được trung giới kỹ thuật trong sản xuất, y tế, giáo dục và quân sự.","S03","PDF tr. 1–3; trang in 301–303",VERIFIED,"Dùng để đặt vấn đề quyền lực."
C012,"Thiết kế thường bất định tương đối bởi tiêu chí khoa học-kỹ thuật: có nhiều phương án khả thi và định nghĩa vấn đề có thể thay đổi trong quá trình giải quyết.","S03","PDF tr. 5; trang in 305",VERIFIED,"Luôn nói ‘bất định tương đối’, không nói tùy ý."
C013,"Những nhóm bị loại khỏi mạng lưới thiết kế ban đầu có thể phát biểu lợi ích chưa được đại diện; thay đổi thiết kế có thể dung hợp nhiều giá trị thay vì nhất thiết hy sinh hiệu quả.","S03","PDF tr. 12–13; trang in 312–313",VERIFIED,"Nền cho participant interests."
C014,"Mã kỹ thuật trung giới chân trời văn hóa-xã hội ở cấp thiết kế; vật liệu và tham số kỹ thuật cụ thể có thể được quy định về mặt xã hội.","S03","PDF tr. 13; trang in 313",VERIFIED,"Không dịch thành mã nguồn."
C015,"Sau khi một mã kỹ thuật ổn định, kết quả của xung đột xã hội dễ được xem như đặc tính tất yếu của vật thể kỹ thuật.","S03","PDF tr. 13–15; trang in 313–315; S02 PDF tr. 26",VERIFIED,"Dùng hiệu ứng trầm tích/lắng đọng trong hộp đen."
C016,"Dân chủ hóa công nghệ theo bài năm 1992 không chủ yếu là quyền pháp lý mà là sáng kiến và tham gia nảy sinh từ kinh nghiệm, nhu cầu của người chống lại quyền lực kỹ thuật.","S03","PDF tr. 18; trang in 318",VERIFIED,"Không giản lược thành khảo sát người dùng."
C017,"Các tranh cãi công nghệ có thể buộc thiết kế phản hồi một bối cảnh rộng hơn và mở một không gian công cộng mới quanh nền kỹ thuật của đời sống.","S03","PDF tr. 18–20; trang in 318–320",VERIFIED,"Nền cho định hướng quản trị."
C018,"Feenberg gọi kiểu hợp lý hóa nội tại hóa chi phí và bối cảnh bị bỏ quên, đối lập với bá quyền thống trị, là ‘subversive rationalization’ trong bài năm 1992.","S03","PDF tr. 1, 20; trang in 301, 320",VERIFIED,"Lời thoại dùng ‘hợp lý hóa mang tính cải biến’; title revised 2003 được gọi ‘hợp lý hóa dân chủ’."
C019,"Nhan đề bản sửa năm 2003 của bài 1992 là ‘Democratic rationalization: technology, power, and freedom’.","S04 — Dusek","PDF tr. 225; trang in 217",VERIFIED,"Chỉ dùng xác nhận thuật ngữ/thư mục."
C020,"Teletel và Internet ban đầu được các nhà kỹ trị/kỹ sư hình dung như phương tiện phân phối dữ liệu; người dùng sớm chiếm dụng chúng cho giao tiếp.","S02","PDF tr. 10",VERIFIED,"Tình huống nguồn; tái dựng phải dán nhãn."
C021,"Cách diễn giải mới về mạng máy tính được đưa vào thay đổi cấu trúc thiết kế và cuối cùng thay đổi chính định nghĩa về chức năng của máy tính.","S02","PDF tr. 10–11",VERIFIED,"Bằng chứng cho năng lực hành động của người dùng ảnh hưởng thiết kế."
C022,"Trong nghiên cứu năm 1995 được Feenberg thuật lại, nhóm hỗ trợ ALS trên Prodigy có khoảng 500 bệnh nhân/người chăm sóc đọc trao đổi và vài chục người tham gia tích cực.","S02","PDF tr. 11",VERIFIED,"Giữ từ ‘khoảng’; không thêm nhân khẩu học."
C023,"Người tham gia nhóm ALS đã lập danh sách ưu tiên và trình cho Amyotrophic Lateral Sclerosis Society of America.","S02","PDF tr. 12",VERIFIED,"Không khẳng định danh sách được chấp nhận hay thay đổi chính sách."
C024,"Feenberg diễn giải mạng trực tuyến là khả năng góp vào yêu cầu ngày càng tăng của bệnh nhân về quyền kiểm soát chăm sóc y tế của chính họ.","S02","PDF tr. 11–12",VERIFIED,"Dùng ngôn ngữ khả năng, không khẳng định quan hệ nhân quả hoàn tất."
C025,"Sự chiếm dụng không chính thức của người dùng có thể dẫn tới thay đổi thiết kế đáng kể; giao tiếp đã trở thành chức năng chuẩn của công nghệ vốn được hình dung cho tính toán và lưu trữ dữ liệu.","S02","PDF tr. 16",VERIFIED,"Liên kết lại case với lý thuyết."
C026,"Khi ràng buộc xã hội được nội tại hóa bằng thiết kế, quan hệ xã hội và quan hệ kỹ thuật được cô đọng trong thiết bị.","S02","PDF tr. 24",VERIFIED,"Câu định nghĩa trực quan về giá trị trong thiết kế."
C027,"Feenberg gọi công nghệ là ambivalent: nó có thể đi theo các hướng phát triển khác nhau; tương lai công nghệ không được tiền định.","S02","PDF tr. 27–28",VERIFIED,"Diễn giải có điều kiện: không đồng nhất ambivalent với khả biến tùy ý; giữ ràng buộc kỹ thuật và không chuyển thành lạc quan tất thắng."
C028,"Một hệ thống phân lịch khám có thể ưu tiên tốc độ xử lý, hoặc đồng thời có cơ chế giải trình, kháng nghị và tham gia của nhóm chịu tác động.","Nhóm 14",MINH_HỌA_PHƯƠNG_PHÁP_LUẬN,ILLUSTRATIVE_EXAMPLE,"Không gán cho Feenberg, không nêu là hệ thống thật."
C029,"Khung quản trị đề xuất gồm: lập bản đồ chủ thể chịu tác động; công khai giả định thiết kế; tạo quyền tham gia sớm; có cơ chế phản hồi/kháng nghị; đo tác động và tái thiết kế trong vòng đời.","Nhóm 14, chuyển dụng từ S01/S03 và yêu cầu S05",MINH_HỌA_PHƯƠNG_PHÁP_LUẬN,INTERPRETATION,"Gắn nhãn ‘Đề xuất của Nhóm 14’."
C030,"Dân chủ hóa không bảo đảm mọi lợi ích đều thắng hay xóa chuyên môn; nó thay đổi câu hỏi ai được phát biểu vấn đề, ở thời điểm nào, bằng quyền lực nào và phản hồi có thể sửa thiết kế ra sao.","Nhóm 14, diễn giải từ S01/S03",DIỄN_GIẢI,INTERPRETATION,"Kết luận phương pháp luận; không đặt trong ngoặc kép."
