TERM,EXACT_VIETNAMESE_FORM,DEFINITION,SOURCE,ALLOWED_ALTERNATIVE_EXPLANATION,FORBIDDEN_SUBSTITUTION
"Critical Theory of Technology","lý thuyết phê phán công nghệ","Lập trường xem công nghệ là mang giá trị nhưng vẫn có thể được con người định hướng thông qua lựa chọn giữa những cấu hình phương tiện–mục đích và những can thiệp dân chủ vào thiết kế, phát triển.","S01, PDF tr. 9–10","cách tiếp cận phê phán của Feenberg","chủ nghĩa chống công nghệ; phê phán mọi công nghệ; lý thuyết công cụ"
"instrumentalism","thuyết công cụ","Lập trường đặt công nghệ ở giao điểm giữa tính trung tính về giá trị và khả năng do con người kiểm soát; công nghệ được xem như công cụ phục vụ mục đích của người dùng.","S01, PDF tr. 5–6","quan niệm công nghệ như phương tiện trung tính","mọi kỹ thuật cụ thể đều tốt hoặc xấu chỉ do người dùng; chủ nghĩa thực dụng"
"technological determinism","thuyết tất định công nghệ","Lập trường trong ma trận của Feenberg xem công nghệ là trung tính về giá trị nhưng tự trị đối với sự lựa chọn của con người và định hình xã hội theo các yêu cầu của hiệu quả, tiến bộ.","S01, PDF tr. 5–6","quan niệm công nghệ quyết định/chi phối biến đổi xã hội","mọi tác động công nghệ đều không thể thay đổi; định mệnh luận nói chung"
"substantivism","thuyết thực chất","Lập trường xem công nghệ mang các giá trị thực chất và có tính tự trị; việc lựa chọn công nghệ đồng thời hàm ý lựa chọn một lối sống, không chỉ chọn phương tiện hiệu quả hơn.","S01, PDF tr. 7–8","quan niệm thực chất về công nghệ","chủ nghĩa bản chất; mọi công nghệ đều xấu; lý thuyết phê phán"
"non-essentialism","phi bản chất luận","Cách hiểu từ chối coi hình thức công nghệ đang thống trị là bản chất bất biến của công nghệ; các thiết kế có tính lịch sử, xã hội và có thể đi theo nhiều con đường phát triển khả thi.","S02, PDF tr. 24–28; S03, PDF tr. 4–5","không tuyệt đối hóa một bản chất công nghệ cố định","công nghệ không có đặc trưng kỹ thuật; thiết kế tùy ý; phủ nhận mọi ràng buộc vật chất"
"technical code","mã kỹ thuật (technical code)","Cấu trúc/quy tắc trung giới qua đó một chân trời văn hóa–xã hội được cụ thể hóa ở cấp độ thiết kế; các tham số kỹ thuật cụ thể được mã quy định về mặt xã hội và sau khi ổn định dễ xuất hiện như tất yếu thuần kỹ thuật.","S03, PDF tr. 13–15; S02, PDF tr. 26","quy tắc xã hội đã lắng đọng trong thiết kế","mã nguồn; thuật toán; tiêu chuẩn kỹ thuật đơn thuần; ý định bí mật của nhà thiết kế"
"technological politics","tính chính trị của công nghệ","Khía cạnh quyền lực và trật tự xã hội được trung giới trong các hệ thống, thủ tục và thiết kế công nghệ, không chỉ trong tranh luận nhà nước hay mục đích sử dụng.","S03, PDF tr. 1–3, 18–20","chính trị nằm trong lựa chọn thiết kế và quản trị","đảng phái hóa công nghệ; tuyên truyền chính trị bằng công nghệ"
"democratic rationalization","hợp lý hóa dân chủ","Quá trình mở rộng lý tính công nghệ để nội tại hóa những bối cảnh, chi phí và lợi ích từng bị gạt ra ngoài, thông qua sáng kiến, phản kháng và sự tham gia có khả năng dẫn đến thay đổi thực hành, thủ tục hoặc thiết kế.","S03, PDF tr. 18–20; S01, PDF tr. 10–11; tên bản sửa 2003 được S04 xác nhận tại PDF tr. 225","tái định hướng công nghệ theo hướng dân chủ","bỏ phiếu chọn thiết bị; lấy ý kiến tượng trưng; cho mọi người quyền dùng miễn phí"
"participant interests","lợi ích của người tham gia chịu tác động","Những nhu cầu/lợi ích hình thành từ vị trí và kinh nghiệm của người bị đưa vào một mạng lưới kỹ thuật; chúng có thể không được đại diện trong mạng lưới thiết kế ban đầu và được phát biểu qua sáng kiến hoặc đấu tranh.","S03, PDF tr. 12–13, 18–19","lợi ích của các chủ thể bị tác động","sở thích người dùng; lợi ích của mọi bên vốn ngang nhau"
"user agency","năng lực hành động của người dùng","Khả năng của người dùng chiếm dụng, diễn giải lại, phản hồi hoặc tổ chức tập thể để ảnh hưởng đến cách công nghệ vận hành và phát triển; khả năng này có điều kiện và phân bố không đều.","S02, PDF tr. 10–12, 16; S01, PDF tr. 10","sáng kiến của người dùng","toàn quyền kiểm soát công nghệ; chỉ là thao tác sử dụng"
